번호,구분,책이름,파일명,장수
1,구약,창세기,01_창세기.txt,50
2,구약,출애굽기,02_출애굽기.txt,40
3,구약,레위기,03_레위기.txt,27
4,구약,민수기,04_민수기.txt,36
5,구약,신명기,05_신명기.txt,34
6,구약,여호수아기,06_여호수아기.txt,24
7,구약,사사기,07_사사기.txt,21
8,구약,룻기,08_룻기.txt,4
9,구약,사무엘기상,09_사무엘기상.txt,31
10,구약,사무엘기하,10_사무엘기하.txt,24
11,구약,열왕기상,11_열왕기상.txt,22
12,구약,열왕기하,12_열왕기하.txt,25
13,구약,역대기상,13_역대기상.txt,29
14,구약,역대기하,14_역대기하.txt,36
15,구약,에스라,15_에스라.txt,10
16,구약,느헤미야기,16_느헤미야기.txt,13
17,구약,에스더기,17_에스더기.txt,10
18,구약,욥기,18_욥기.txt,42
19,구약,시편,19_시편.txt,150
20,구약,잠언,20_잠언.txt,31
21,구약,전도서,21_전도서.txt,12
22,구약,아가,22_아가.txt,8
23,구약,이사야서,23_이사야서.txt,66
24,구약,예레미야서,24_예레미야서.txt,52
25,구약,예레미야 애가,25_예레미야애가.txt,5
26,구약,에스겔서,26_에스겔서.txt,48
27,구약,다니엘서,27_다니엘서.txt,12
28,구약,호세아,28_호세아.txt,14
29,구약,요엘,29_요엘.txt,3
30,구약,아모스,30_아모스.txt,9
31,구약,오바댜,31_오바댜.txt,1
32,구약,요나,32_요나.txt,4
33,구약,미가,33_미가.txt,7
34,구약,나훔,34_나훔.txt,3
35,구약,하박국,35_하박국.txt,3
36,구약,스바냐,36_스바냐.txt,3
37,구약,학개,37_학개.txt,2
38,구약,스가랴,38_스가랴.txt,14
39,구약,말라기,39_말라기.txt,4
40,신약,마태복음,40_마태복음.txt,28
41,신약,마가복음,41_마가복음.txt,16
42,신약,누가복음,42_누가복음.txt,24
43,신약,요한복음,43_요한복음.txt,21
44,신약,사도행전,44_사도행전.txt,28
45,신약,로마서,45_로마서.txt,16
46,신약,고린도전서,46_고린도전서.txt,16
47,신약,고린도후서,47_고린도후서.txt,13
48,신약,갈라디아서,48_갈라디아서.txt,6
49,신약,에베소서,49_에베소서.txt,6
50,신약,빌립보서,50_빌립보서.txt,4
51,신약,골로새서,51_골로새서.txt,4
52,신약,데살로니가전서,52_데살로니가전서.txt,5
53,신약,데살로니가후서,53_데살로니가후서.txt,3
54,신약,디모데전서,54_디모데전서.txt,6
55,신약,디모데후서,55_디모데후서.txt,4
56,신약,디도서,56_디도서.txt,3
57,신약,빌레몬서,57_빌레몬서.txt,1
58,신약,히브리서,58_히브리서.txt,13
59,신약,야고보서,59_야고보서.txt,5
60,신약,베드로전서,60_베드로전서.txt,5
61,신약,베드로후서,61_베드로후서.txt,3
62,신약,요한일서,62_요한일서.txt,5
63,신약,요한이서,63_요한이서.txt,1
64,신약,요한삼서,64_요한삼서.txt,1
65,신약,유다서,65_유다서.txt,1
66,신약,요한계시록,66_요한계시록.txt,22
